date,open,high,low,close,volume
2021-03-05,4570.0,4650.0,4405.0,4650.0,39700
2021-03-08,4750.0,4750.0,4570.0,4645.0,18700
2021-03-09,4575.0,4670.0,4535.0,4620.0,26100
2021-03-10,4610.0,4665.0,4550.0,4570.0,16600
2021-03-11,4570.0,4680.0,4525.0,4625.0,13800
2021-03-12,4625.0,4840.0,4625.0,4780.0,32400
2021-03-15,4820.0,4890.0,4765.0,4765.0,20200
2021-03-16,4800.0,4850.0,4790.0,4850.0,10100
2021-03-17,4810.0,5050.0,4810.0,4950.0,32100
2021-03-18,4955.0,4980.0,4850.0,4950.0,13200
2021-03-19,4810.0,4865.0,4770.0,4800.0,33300
2021-03-22,4800.0,4925.0,4795.0,4870.0,21300
2021-03-23,4870.0,4930.0,4815.0,4815.0,11600
2021-03-24,4745.0,4815.0,4650.0,4650.0,24200
2021-03-25,4635.0,4690.0,4590.0,4635.0,11900
2021-03-26,4620.0,4695.0,4620.0,4655.0,12100
2021-03-29,4670.0,4770.0,4630.0,4630.0,17900
2021-03-30,4635.0,4820.0,4635.0,4770.0,27000
2021-03-31,4770.0,4900.0,4725.0,4840.0,22300
2021-04-01,4850.0,5020.0,4800.0,4965.0,35300
2021-04-02,5030.0,5090.0,4920.0,4945.0,34200
2021-04-05,4980.0,5220.0,4970.0,5160.0,58100
2021-04-06,5120.0,5140.0,4890.0,4890.0,46500
2021-04-07,4900.0,4965.0,4800.0,4950.0,27900
2021-04-08,4950.0,4950.0,4875.0,4950.0,12500
2021-04-09,4905.0,4980.0,4880.0,4910.0,16600
2021-04-12,4885.0,4890.0,4800.0,4825.0,22000
2021-04-13,4825.0,4900.0,4800.0,4810.0,20000
2021-04-14,4815.0,4830.0,4740.0,4750.0,15900
2021-04-15,4820.0,4820.0,4730.0,4755.0,12300
2021-04-16,4775.0,4775.0,4725.0,4770.0,13900
2021-04-19,4770.0,4870.0,4760.0,4825.0,14100
2021-04-20,4740.0,4750.0,4650.0,4695.0,27400
2021-04-21,4650.0,4660.0,4470.0,4510.0,39000
2021-04-22,4580.0,4580.0,4510.0,4555.0,23400
2021-04-23,4545.0,4570.0,4450.0,4480.0,12200
2021-04-26,4455.0,4525.0,4440.0,4475.0,9400
2021-04-27,4490.0,4530.0,4460.0,4460.0,7700
2021-04-28,4500.0,4500.0,4430.0,4450.0,6400
2021-04-30,4450.0,4500.0,4270.0,4320.0,36900
2021-05-06,4350.0,4410.0,4330.0,4385.0,22200
2021-05-07,4380.0,4500.0,4375.0,4460.0,12700
2021-05-10,4460.0,4600.0,4460.0,4595.0,16000
