source_date,code,name,market,market_slug,sector,industry
20260131,1301,極洋,プライム,prime,水産・農林業,食品
20260131,130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース,growth,医薬品,医薬品
20260131,1332,ニッスイ,プライム,prime,水産・農林業,食品
20260131,1333,マルハニチロ,プライム,prime,水産・農林業,食品
20260131,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,1375,ユキグニファクトリー,プライム,prime,水産・農林業,食品
20260131,1376,カネコ種苗,スタンダード,standard,水産・農林業,食品
20260131,1377,サカタのタネ,プライム,prime,水産・農林業,食品
20260131,1379,ホクト,プライム,prime,水産・農林業,食品
20260131,137A,Ｃｏｃｏｌｉｖｅ,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,1380,秋川牧園,スタンダード,standard,水産・農林業,食品
20260131,1381,アクシーズ,スタンダード,standard,水産・農林業,食品
20260131,1382,ホーブ,スタンダード,standard,水産・農林業,食品
20260131,1383,ベルグアース,スタンダード,standard,水産・農林業,食品
20260131,1384,ホクリヨウ,スタンダード,standard,水産・農林業,食品
20260131,138A,光フードサービス,グロース,growth,小売業,小売
20260131,1401,エムビーエス,グロース,growth,建設業,建設・資材
20260131,1407,ウエストホールディングス,スタンダード,standard,建設業,建設・資材
20260131,1414,ショーボンドホールディングス,プライム,prime,建設業,建設・資材
20260131,1417,ミライト・ワン,プライム,prime,建設業,建設・資材
20260131,1418,インターライフホールディングス,スタンダード,standard,建設業,建設・資材
20260131,1419,タマホーム,プライム,prime,建設業,建設・資材
20260131,141A,トライアルホールディングス,グロース,growth,小売業,小売
20260131,1420,サンヨーホームズ,スタンダード,standard,建設業,建設・資材
20260131,1429,日本アクア,プライム,prime,建設業,建設・資材
20260131,142A,ジンジブ,グロース,growth,サービス業,情報通信・サービスその他
20260131,1430,ファーストコーポレーション,スタンダード,standard,建設業,建設・資材
20260131,1431,Ｌｉｂ　Ｗｏｒｋ,グロース,growth,建設業,建設・資材
20260131,1433,ベステラ,プライム,prime,建設業,建設・資材
20260131,1434,ＪＥＳＣＯホールディングス,スタンダード,standard,建設業,建設・資材
20260131,1435,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード,standard,不動産業,不動産
20260131,1436,グリーンエナジー＆カンパニー,グロース,growth,建設業,建設・資材
20260131,1438,岐阜造園,スタンダード,standard,建設業,建設・資材
20260131,143A,イシン,グロース,growth,サービス業,情報通信・サービスその他
20260131,1443,技研ホールディングス,スタンダード,standard,建設業,建設・資材
20260131,1444,ニッソウ,グロース,growth,建設業,建設・資材
20260131,1446,キャンディル,スタンダード,standard,建設業,建設・資材
20260131,1447,ＳＡＡＦホールディングス,グロース,growth,建設業,建設・資材
20260131,1450,ＴＡＮＡＫＥＮ,スタンダード,standard,建設業,建設・資材
20260131,145A,Ｌ　ｉｓ　Ｂ,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,146A,コロンビア・ワークス,スタンダード,standard,不動産業,不動産
20260131,147A,ソラコム,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,148A,ハッチ・ワーク,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,1491,中外鉱業,スタンダード,standard,非鉄金属,鉄鋼・非鉄
20260131,149A,シンカ,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,150A,ＪＳＨ,グロース,growth,サービス業,情報通信・サービスその他
20260131,1514,住石ホールディングス,スタンダード,standard,鉱業,エネルギー資源
20260131,1515,日鉄鉱業,プライム,prime,鉱業,エネルギー資源
20260131,1518,三井松島ホールディングス,プライム,prime,その他製品,情報通信・サービスその他
20260131,151A,ダイブ,グロース,growth,サービス業,情報通信・サービスその他
20260131,153A,カウリス,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,155A,情報戦略テクノロジー,グロース,growth,情報・通信業,情報通信・サービスその他
20260131,156A,マテリアルグループ,グロース,growth,サービス業,情報通信・サービスその他
20260131,157A,グリーンモンスター,グロース,growth,サービス業,情報通信・サービスその他
20260131,1605,ＩＮＰＥＸ,プライム,prime,鉱業,エネルギー資源
20260131,160A,アズパートナーズ,スタンダード,standard,サービス業,情報通信・サービスその他
20260131,1662,石油資源開発,プライム,prime,鉱業,エネルギー資源
20260131,1663,Ｋ＆Ｏエナジーグループ,プライム,prime,鉱業,エネルギー資源
20260131,166A,タスキホールディングス,グロース,growth,不動産業,不動産
20260131,167A,リョーサン菱洋ホールディングス,プライム,prime,卸売業,商社・卸売
20260131,168A,イタミアート,グロース,growth,その他製品,情報通信・サービスその他
20260131,1711,ＳＤＳホールディングス,スタンダード,standard,建設業,建設・資材
20260131,1716,第一カッター興業,スタンダード,standard,建設業,建設・資材
20260131,1717,明豊ファシリティワークス,スタンダード,standard,サービス業,情報通信・サービスその他
20260131,1718,美樹工業,スタンダード,standard,建設業,建設・資材
20260131,1719,安藤・間,プライム,prime,建設業,建設・資材
20260131,1720,東急建設,プライム,prime,建設業,建設・資材
